SrNo,District Name,Taluka Name,Gram Panchayat,Taluka Latitude,Taluka Longitude,District Latitude,District Longitude,Month,Max Temp (°C),Min Temp (°C),Avg Temp (°C)
1,AHMADABAD,Detroj-Rampura,ABASNA,23.3291312,72.1639025,,,,,,
2,AHMADABAD,Bavla,ADRODA,22.8278859,72.3684741,,,,,,
3,AHMADABAD,Detroj-Rampura,AGHAR (ASHOKNAGAR),23.3291312,72.1639025,,,,,,
4,AHMADABAD,Dhandhuka,AKRU,22.3816365,71.9791414,,,,,,
5,AHMADABAD,Dholka,AMBARELI,22.726607,72.4411863,,,,,,
6,AHMADABAD,Dholka,AMBETHI,22.726607,72.4411863,,,,,,
7,AHMADABAD,Sanand,ANADEJ,23.0238876,72.3851475,,,,,,
8,AHMADABAD,Dholka,ANDHARI,22.726607,72.4411863,,,,,,
9,AHMADABAD,Dhandhuka,ANIYALI BHIMJI,22.3816365,71.9791414,,,,,,
10,AHMADABAD,Viramgam,ASALGAM,23.1224522,72.0483946,,,,,,
11,AHMADABAD,Dholka,BADARKHA,22.726607,72.4411863,,,,,,
12,AHMADABAD,Detroj-Rampura,BANTAI - JETHIPURA,23.3291312,72.1639025,,,,,,
13,AHMADABAD,Daskroi,BAREJDI,22.9538235,72.7502756,,,,,,
14,AHMADABAD,Dholera,BAVLIYARI,22.2495856,72.1959892,,,,,,
15,AHMADABAD,Dholka,BEGVA - KALYANPURA,22.726607,72.4411863,,,,,,
16,AHMADABAD,Viramgam,BHADANA,23.1224522,72.0483946,,,,,,
17,AHMADABAD,Detroj-Rampura,BHAGAPURA,23.3291312,72.1639025,,,,,,
18,AHMADABAD,Bavla,BHAMSARA,22.8278859,72.3684741,,,,,,
19,AHMADABAD,Bavla,BAGODARA,22.8278859,72.3684741,,,,,,
20,AHMADABAD,Dhandhuka,BAJARDA,22.3816365,71.9791414,,,,,,
21,AHMADABAD,Sanand,BAKRANA,23.0238876,72.3851475,,,,,,
22,AHMADABAD,Daskroi,BAKROL BUJRANG,22.9538235,72.7502756,,,,,,
23,AHMADABAD,Detroj-Rampura,BHANKODA,23.3291312,72.1639025,,,,,,
24,AHMADABAD,Dholka,BHAVANPURA,22.726607,72.4411863,,,,,,
25,AHMADABAD,Daskroi,BHARKUNDA,22.9538235,72.7502756,,,,,,
26,AHMADABAD,Daskroi,BHAVDA,22.9538235,72.7502756,,,,,,
27,AHMADABAD,Bavla,BHAYLA,22.8278859,72.3684741,,,,,,
28,AHMADABAD,Dholka,BHETAWADA,22.726607,72.4411863,,,,,,
29,AHMADABAD,Detroj-Rampura,BHOYANI - BHOYANIPURA,23.3291312,72.1639025,,,,,,
30,AHMADABAD,Dholka,BHUMLI,22.726607,72.4411863,,,,,,
31,AHMADABAD,Dholka,BHURKHI,22.726607,72.4411863,,,,,,
32,AHMADABAD,Daskroi,BHUVALDI,22.9538235,72.7502756,,,,,,
33,AHMADABAD,Daskroi,BILASIYA,22.9538235,72.7502756,,,,,,
34,AHMADABAD,Sanand,BOL,23.0238876,72.3851475,,,,,,
35,AHMADABAD,Daskroi,BHUVAL,22.9538235,72.7502756,,,,,,
36,AHMADABAD,Detroj-Rampura,BOSKA,23.3291312,72.1639025,,,,,,
37,AHMADABAD,Dholera,BURANPUR,22.2495856,72.1959892,,,,,,
38,AHMADABAD,Dholka,CHALODA,22.726607,72.4411863,,,,,,
39,AHMADABAD,Daskroi,CHANDIAL,22.9538235,72.7502756,,,,,,
40,AHMADABAD,Mandal,DALOD,23.2883831,71.9178854,,,,,,
41,AHMADABAD,Viramgam,KANPURA (DASLANA),23.1224522,72.0483946,,,,,,
42,AHMADABAD,Detroj-Rampura,DAMODARIPURA District And Taluka Wise GP List 43 AHMADABAD Viramgam DEDIYASAN,23.3291312,72.1639025,,,,,,
44,AHMADABAD,Detroj-Rampura,DEKAVADA,23.3291312,72.1639025,,,,,,
45,AHMADABAD,Detroj-Rampura,DETROJ,23.3291312,72.1639025,,,,,,
46,AHMADABAD,Bavla,DEVADTHAL,22.8278859,72.3684741,,,,,,
47,AHMADABAD,Bavla,DEVDHOLERA,22.8278859,72.3684741,,,,,,
48,AHMADABAD,Daskroi,DEVDI,22.9538235,72.7502756,,,,,,
49,AHMADABAD,Viramgam,DHAKDI,23.1224522,72.0483946,,,,,,
50,AHMADABAD,Daskroi,DHAMATVAN,22.9538235,72.7502756,,,,,,
51,AHMADABAD,Bavla,DHANWADA,22.8278859,72.3684741,,,,,,
52,AHMADABAD,Mandal,DHEDHASANA,23.2883831,71.9178854,,,,,,
53,AHMADABAD,Bavla,DHINGDA,22.8278859,72.3684741,,,,,,
54,AHMADABAD,Dholera,DHOLERA,22.2495856,72.1959892,,,,,,
55,AHMADABAD,Sanand,DODAR naranpura,23.0238876,72.3851475,,,,,,
56,AHMADABAD,Bavla,DURGI,22.8278859,72.3684741,,,,,,
57,AHMADABAD,Daskroi,ENASAN,22.9538235,72.7502756,,,,,,
58,AHMADABAD,Sanand,FANGDI,23.0238876,72.3851475,,,,,,
59,AHMADABAD,Dhandhuka,FEDRA,22.3816365,71.9791414,,,,,,
